# Gravity accuracy test - SWIFT FORCES
# G=   4.30091755e+01
# N= 10
# periodic= 1
# theta=   1.00000000e-02
# Git Branch: master
# Git Revision: v1.0.0-359-gdf3f05c9-dirty
#               id           pos[0]           pos[1]           pos[2]       a_swift[0]       a_swift[1]       a_swift[2]        potential          a_PM[0]          a_PM[1]          a_PM[2]      potentialPM         a_p2p[0]         a_p2p[1]         a_p2p[2]         a_m2p[0]         a_m2p[1]         a_m2p[2]         a_m2l[0]         a_m2l[1]         a_m2l[2]            n_p2p            n_m2p            n_m2l             n_PM
              2980   2.35021536e-01   2.57978941e+00   4.80735511e+00   2.86399107e-02   2.27495693e-02  -5.63275889e-02  -4.49076071e-02   3.85326170e-03   1.47895999e-02  -1.02257598e-02  -4.52296622e-02   3.08637694e-02   1.14794802e-02  -4.14498895e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              3710   1.89010077e+00   2.96220063e+00   7.39523158e-01  -3.16423513e-02  -1.33136110e-02   1.09364027e-02   4.67753820e-02  -3.20607461e-02  -1.33328829e-02   1.07826935e-02   4.16538119e-02   4.17679490e-04   1.93268788e-05   1.54979571e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              6190   2.03253169e+00   4.15254495e+00   2.54482156e+00   5.07816970e-02  -5.51226139e-02  -5.36051430e-02  -1.32674560e-01  -1.25082638e-02   8.09673518e-02   5.59190102e-02  -1.09408423e-01   6.32899702e-02  -1.36089996e-01  -1.09524161e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              9630   4.62587970e+00   4.43972516e+00   1.17519198e+00  -1.15938168e-02  -1.52635165e-02   3.08016539e-02   2.10824236e-02  -1.33648627e-02  -1.61977708e-02   3.49873640e-02   1.65196192e-02   1.29846775e-03   1.18291844e-03  -3.99691239e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              8110   3.94646764e+00   2.81964443e+00   2.81761536e-01   3.59558389e-02   8.59905686e-03  -2.96182698e-03   9.26446915e-02   3.46929207e-02   8.54359008e-03  -3.40736401e-03   8.75740349e-02   1.16920169e-03   3.40682163e-06   5.12291095e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              3000   4.78953109e+00   8.74089651e-01   1.07715172e+00   9.92266983e-02  -1.11781180e-01  -1.03393078e-01  -4.53905798e-02   5.86299226e-04  -4.24387269e-02  -4.78094034e-02  -3.42359543e-02  -3.02613229e-02  -1.69662200e-02  -1.76113006e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              7740   3.07767931e+00   4.33391305e+00   2.88222734e+00  -5.82385659e-02   3.06096934e-02   1.49064623e-02  -9.59497690e-02  -5.42101227e-02   3.30446474e-02   1.99131221e-02  -9.95793864e-02  -4.03280603e-03  -2.47387099e-03  -4.98016644e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              4770   4.25557929e+00   3.98527186e+00   3.99304207e+00  -5.34401089e-02   4.23514321e-02  -3.77231650e-03   3.78011656e-03  -5.34403473e-02   4.23548706e-02  -3.76741448e-03  -1.37381395e-03   2.04548328e-07  -3.45195281e-06  -4.95856784e-06   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              7770   4.53693857e+00   1.02889685e+00   2.64545460e+00  -2.18497291e-02  -3.53154764e-02  -3.69822234e-02   2.60925386e-02  -2.14262418e-02  -3.50446999e-02  -3.63892540e-02   2.10931413e-02  -4.23573510e-04  -2.70819903e-04  -5.92959113e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              7030   2.43945973e+00   5.17182001e-01   3.93342359e+00  -9.14576463e-03   1.17934337e-02   1.85043411e-03   1.44623537e-02  -1.09499868e-03   1.42779872e-02   4.62693628e-04   1.00038378e-02  -8.05273559e-03  -2.48136837e-03   1.38521625e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              7040   4.49173860e+00   4.90741616e+00   3.37777345e+00  -1.58047691e-01   7.79024065e-02  -4.35242169e-02  -6.59162849e-02  -1.01667590e-01   4.53081429e-02  -2.88322754e-02  -6.45854548e-02  -1.01843867e-02  -4.79892083e-03  -3.63329286e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
