# Folding 2, all lengths/volumes are comoving. k-bin centres are not corrected for the weights of the modes.
# Shotnoise [Mpc^3]
9593.45
# Redshift [dimensionless]
127
# k [Mpc^(-1)]   p [Mpc^3]
6.81298 11264.3
13.626 8425.64
20.439 9641.49
27.2519 9685.64
34.0649 10093.8
40.8779 10580
47.6909 8968.38
54.5039 9528.83
61.3169 9517.69
68.1298 9436.63
74.9428 9297.88
81.7558 9467.51
88.5688 9371.09
95.3818 9806.7
102.195 9135.04
109.008 9573.22
115.821 9912.18
122.634 9540.74
129.447 9396.43
136.26 9485.06
143.073 9487.3
149.886 9614.46
156.699 9812.34
163.512 9681.26
170.325 9774.37
177.138 9628.5
183.951 9427.03
190.764 9691.23
197.577 9704.73
204.39 9636.03
211.202 9659.68
218.015 9552.74
224.828 9649
231.641 9468.61
238.454 9765.77
245.267 9697.09
252.08 9552.84
258.893 9611.99
265.706 9707.94
272.519 9589.43
279.332 9671.9
286.145 9639.72
292.958 9582.58
299.771 9629.66
306.584 9640.07
313.397 9606.5
320.21 9702.84
327.023 9757.95
333.836 9667.42
340.649 9714.64
347.462 9864.03
354.275 9878.48
361.088 9994.02
367.901 9996.68
374.714 10103.8
381.527 10119.1
388.34 10211.4
395.153 10450.1
401.966 10554.6
408.779 10813.5
415.592 10859.3
422.405 11089.2
429.218 11602.4
436.031 11647.5
