# Matter power spectrum
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
# (3)  The shot-noise power (scale-independant)
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
#
#       (0)             (1)             (2)             (3)    
#             z               k            P(k)         P_noise
   127.00000000  5.43396056e-01  3.03513818e+03  9.59345338e+03
   127.00000000  9.49901521e-01  3.70519990e+02  9.59345338e+03
   127.00000000  1.33456087e+00  3.89997920e+02  9.59345338e+03
   127.00000000  1.72904146e+00  5.09744708e+02  9.59345338e+03
   127.00000000  2.17060924e+00 -9.92244897e+02  9.59345338e+03
   127.00000000  2.60678720e+00 -1.01267790e+03  9.59345338e+03
   127.00000000  3.01122928e+00  1.37699084e+02  9.59345338e+03
   127.00000000  3.41717052e+00  1.95464894e+02  9.59345338e+03
   127.00000000  3.85674047e+00 -8.88707387e+02  9.59345338e+03
   127.00000000  4.29786634e+00 -3.47635604e+02  9.59345338e+03
   127.00000000  4.71000671e+00 -9.66236319e+01  9.59345338e+03
   127.00000000  5.12214375e+00 -7.44784440e+02  9.59345338e+03
   127.00000000  5.55461073e+00  5.01656006e+02  9.59345338e+03
   127.00000000  5.98424387e+00  1.17822189e+02  9.59345338e+03
   127.00000000  6.39424181e+00  4.00859886e+02  9.59345338e+03
   127.00000000  6.81495142e+00 -3.46888811e+02  9.59345338e+03
   127.00000000  7.25232649e+00  3.56443214e+01  9.59345338e+03
   127.00000000  7.68696547e+00 -2.47137409e+02  9.59345338e+03
   127.00000000  8.10589314e+00 -1.84647007e+02  9.59345338e+03
   127.00000000  8.52413368e+00  2.12976916e+02  9.59345338e+03
   127.00000000  8.95573330e+00  1.36907090e+02  9.59345338e+03
   127.00000000  9.38317966e+00  5.26261918e+02  9.59345338e+03
   127.00000000  9.80290508e+00  1.85815682e+02  9.59345338e+03
   127.00000000  1.02233343e+01 -2.45495405e+01  9.59345338e+03
   127.00000000  1.06515999e+01 -3.18260001e+02  9.59345338e+03
   127.00000000  1.10832195e+01 -1.30904709e+02  9.59345338e+03
   127.00000000  1.15090752e+01  1.31782532e+02  9.59345338e+03
   127.00000000  1.19343796e+01  7.29064303e-03  9.59345338e+03
   127.00000000  1.23612289e+01 -1.10169166e+02  9.59345338e+03
   127.00000000  1.27848501e+01  8.43768118e+01  9.59345338e+03
   127.00000000  1.32089167e+01 -2.22068946e+02  9.59345338e+03
   127.00000000  1.36314201e+01  4.64707578e+01  9.59345338e+03
   127.00000000  1.40551777e+01  9.37802308e+01  9.59345338e+03
   127.00000000  1.44850779e+01 -5.45868918e+01  9.59345338e+03
   127.00000000  1.49116325e+01  2.60250518e+01  9.59345338e+03
   127.00000000  1.53358688e+01  1.53245327e+01  9.59345338e+03
   127.00000000  1.57631903e+01 -2.82714611e+01  9.59345338e+03
   127.00000000  1.61895046e+01  5.94153891e+01  9.59345338e+03
   127.00000000  1.66118984e+01  1.79787292e+01  9.59345338e+03
   127.00000000  1.70355854e+01  9.28373448e+01  9.59345338e+03
   127.00000000  1.74647961e+01 -6.80388497e+01  9.59345338e+03
   127.00000000  1.78926506e+01  1.13706341e+02  9.59345338e+03
   127.00000000  1.83175259e+01  1.69476249e+02  9.59345338e+03
   127.00000000  1.87425613e+01  6.72726797e+01  9.59345338e+03
   127.00000000  1.91700783e+01 -1.73820062e+01  9.59345338e+03
   127.00000000  2.04475708e+01 -1.15029314e+02  9.59345338e+03
   127.00000000  2.21453781e+01 -3.55126269e+01  9.59345338e+03
   127.00000000  2.38465843e+01 -2.06806031e+02  9.59345338e+03
   127.00000000  2.55538292e+01  1.10028457e+02  9.59345338e+03
   127.00000000  2.72620449e+01  2.70110155e+01  9.59345338e+03
   127.00000000  2.89645443e+01  1.26697134e+02  9.59345338e+03
   127.00000000  3.06665840e+01  3.43160816e+02  9.59345338e+03
   127.00000000  3.23728256e+01 -1.18303291e+02  9.59345338e+03
   127.00000000  3.40762024e+01 -9.39668524e+01  9.59345338e+03
   127.00000000  3.57747574e+01  1.31243893e+02  9.59345338e+03
   127.00000000  3.74737663e+01  3.53215800e+02  9.59345338e+03
   127.00000000  3.91813698e+01  4.41922272e+01  9.59345338e+03
   127.00000000  4.08876343e+01 -1.11218029e+02  9.59345338e+03
   127.00000000  4.25875626e+01  1.24680604e+02  9.59345338e+03
   127.00000000  4.42917595e+01  4.05513762e+01  9.59345338e+03
   127.00000000  4.59977531e+01 -1.24094532e+02  9.59345338e+03
   127.00000000  4.77023468e+01  1.77372726e+02  9.59345338e+03
   127.00000000  4.93986282e+01  1.06092653e+02  9.59345338e+03
   127.00000000  5.10959167e+01 -1.42673210e+02  9.59345338e+03
